school_district_short,ratio,pop,count_15_19,rate,lower,upper,p_value_diff_state_avg,p_value_diff_state_avg_adjusted
Clinton,3.426,715,19,53.177,32.016,83.042,1.2e-05,0.000835
Vernon,2.571,1403,28,39.909,26.519,57.679,2.1e-05,0.000835
Tolland,2.395,861,16,37.175,21.249,60.369,0.003048,0.025906
Branford,2.243,1379,24,34.808,22.302,51.791,0.000634,0.008088
East Haven,2.223,1623,28,34.504,22.928,49.868,0.000247,0.004896
Guilford,2.202,1404,24,34.183,21.902,50.862,0.000815,0.008818
Southington,1.889,2252,33,29.312,20.177,41.166,0.001185,0.011749
Bristol,1.803,3145,44,27.983,20.332,37.565,0.000451,0.007466
West Haven,1.797,3872,54,27.895,20.956,36.398,0.000105,0.003132
Manchester,1.731,3498,47,26.872,19.745,35.735,0.00068,0.008088
Hartford,0.752,12330,72,11.679,9.138,14.708,0.013932,0.097523
Groton,0.488,3434,13,7.57,4.031,12.946,0.005409,0.042909
Windham,0.344,2996,8,5.341,2.306,10.524,0.000502,0.007466
Monroe,0.237,1632,3,3.676,0.758,10.743,0.00273,0.024988
New London,0.219,2946,5,3.395,1.102,7.923,1.6e-05,0.000835
Regional 19,0.185,2085,3,2.878,0.594,8.411,0.000161,0.00383
Regional 09,0.0,688,0,0.0,0.0,10.723,0.0096,0.0714
